Season,Gender,Style Name,Unique ID,Target Volume,Target FOB $,Target Retail Price $,Style Update,Vertical,Color Update,Factory,UPPER Cost,Other Cost,BOTTOM Cost ,LABOR Cost,OVERHEAD Cost,Tooling Cost,Actual FOB $
SS23,Kids,Cloudinsane,KXX22860970,80000,22.1,100,CO - Carry Over,Performance All Day,NC - New Color,Factory 4,7.41,3.12,5.94,4.58,4.61,0.09,25.75
SS23,Kids,Cloudinsane,KXX22861384,100000,22.1,100,TN - Totally New,Performance All Day,NC - New Color,Factory 4,7.29,3.29,6.40,4.45,4.58,0.10,26.11
SS23,Kids,Cloudinsane,KXX22861384,80000,22.1,100,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 4,7.41,3.12,5.94,4.58,4.61,0.09,25.75
SS23,Kids,Cloudinsane,KXX22862418,100000,22.1,100,TN - Totally New,Performance All Day,NC - New Color,Factory 4,7.29,3.29,6.40,4.45,4.58,0.10,26.11
SS23,Kids,Cloudinsane,KXX22862418,80000,22.1,100,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 4,7.41,3.12,5.94,4.58,4.61,0.09,25.75
SS23,Kids,Cloudinsane,KXX22862420,100000,22.1,100,TN - Totally New,Performance All Day,NC - New Color,Factory 4,7.29,3.29,6.40,4.45,4.58,0.10,26.11
SS23,Kids,Cloudinsane,KXX22862420,80000,22.1,100,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 4,7.41,3.12,5.94,4.58,4.61,0.09,25.75
SS23,Kids,Cloudinsane,KXX22862920,100000,22.1,100,TN - Totally New,Performance All Day,NC - New Color,Factory 4,7.29,3.29,6.40,4.45,4.58,0.10,26.11
SS23,Kids,Cloudinsane,KXX22862920,80000,22.1,100,CO - Carry Over,Performance All Day,CO - Carry Over,Factory 4,7.41,3.12,5.94,4.58,4.61,0.09,25.75
SS23,Kids,Cloudinsane,KXX22863504,80000,22.1,100,CO - Carry Over,Performance All Day,NC - New Color,Factory 4,7.41,3.12,5.94,4.58,4.61,0.09,25.75
SS23,Kids,Cloud Trail WP,KXX60020528,15000,27.3,120,TN - Totally New,Performance All Day,NC - New Color,Factory 5,11.12,3.97,6.66,4.29,4.16,0.00,30.21
SS23,Kids,Cloud Trail WP,KXX60022572,15000,27.3,120,TN - Totally New,Performance All Day,NC - New Color,Factory 5,11.12,3.97,6.66,4.29,4.16,0.00,30.21
SS23,Men,Cloudamazing,MXX20060924,165000,37.7,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,9.85,16.01,9.37,7.18,5.10,0.00,47.51
SS23,Men,Cloudamazing,MXX20060924,165000,37.7,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,0.00,13.59,0.00,0.00,0.00,0.00,13.59
SS23,Men,Cloudamazing,MXX20061106,165000,37.7,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,9.85,16.01,9.37,7.18,5.10,0.00,47.51
SS23,Men,Cloudamazing,MXX20061106,165000,37.7,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,0.00,13.59,0.00,0.00,0.00,0.00,13.59
SS23,Men,Cloudamazing,MXX20061614,165000,37.7,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,9.85,16.01,9.37,7.18,5.10,0.00,47.51
SS23,Men,Cloudamazing,MXX20061614,165000,37.7,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,0.00,13.59,0.00,0.00,0.00,0.00,13.59
SS23,Men,Cloudamazing,MXX20061616,165000,37.7,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 1,9.85,16.01,9.37,7.18,5.10,0.00,47.51
SS23,Men,Cloudamazing,MXX20061616,165000,37.7,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,0.00,13.59,0.00,0.00,0.00,0.00,13.59
SS23,Men,Cloudamazing,MXX20061742,165000,37.7,170,CO - Carry Over,Performance Running,NC - New Color,Factory 1,9.85,16.01,9.37,7.18,5.10,0.00,47.51
SS23,Men,Cloudamazing,MXX20061742,165000,37.7,170,CO - Carry Over,Performance Running,NC - New Color,Factory 2,0.00,13.59,0.00,0.00,0.00,0.00,13.59
SS23,Men,Cloudstorm,MXX20180970,350000,36.4,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,8.33,6.53,9.79,6.28,7.85,0.24,39.02
SS23,Men,Cloudstorm,MXX20180970,600000,36.4,170,CO - Carry Over,Performance Running,CO - Carry Over,Factory 2,8.41,3.31,9.89,6.34,7.85,0.24,36.04
SS23,Men,Cloudstorm,MXX20181182,600000,36.4,170,CO - Carry Over,Performance All Day,NC - New Color,Factory 2,8.41,3.31,9.89,6.34,7.85,0.24,36.04
